Branch;PR Key;New Lines;New Code Smells;New Duplication %;New Coverage %;Test Count;Test Success Density %;Test Failures;New Technical Debt (min);Complexity;Cognitive Complexity;Functions
reference-learningblock;1;1167;50;0.0;92.5;36;100.0;0;214;38;14;28
copilot-claude45-zero-learningblock;2;1280;12;0.0;68.9;20;70.0;6;87;31;7;26
copilot-claude45-few-learningblock;3;2122;20;0.0;95.6;48;100.0;0;174;43;15;33
cursor-auto-zero-learningblock;4;704;12;0.0;84.5;11;54.5;5;106;38;13;24
cursor-auto-few-learningblock;5;718;17;6.13;77.9;12;83.3;2;91;52;12;40
reference-commentonblock;6;2738;96;0.0;90.2;93;100.0;0;356;64;22;45
copilot-claude45-zero-commentonblock;7;2724;22;0.0;82.8;53;96.2;2;148;63;14;51
copilot-claude45-few-commentonblock;8;3898;38;0.82093;81.1;87;75.9;21;332;80;22;63
reference-notifyreviewer;9;1370;4;0.0;87.7;29;100.0;0;45;79;65;30
copilot-claude45-zero-notifyreviewer;10;307;12;3.91;9.6;0;0;0;87;64;71;18
copilot-claude45-few-notifyreviewer;11;1230;12;2.6;83.1;26;96.2;1;82;68;65;24
cursor-auto-few-notifyreviewer;12;525;9;1.33;37.3;2;100.0;0;70;75;65;28
reference-exportreviewcatalog;13;192;2;0.0;100.0;14;100.0;0;25;55;44;28
copilot-claude45-zero-exportreviewcatalog;14;1541;19;0.0;85.0;28;67.9;9;130;66;58;26
copilot-claude45-few-exportreviewcatalog;15;1049;24;0.0;98.7;33;84.8;5;126;68;54;44
cursor-auto-zero-exportreviewcatalog;16;880;10;0.0;74.9;11;90.9;1;78;113;88;51
cursor-auto-few-exportreviewcatalog;17;518;6;0.0;74.1;17;29.4;12;68;100;80;56
cursor-auto-zero-notifyreviewer;18;;0;;;;;;0;;;
